name,device,url
random,/dev/random,
urandom,/dev/urandom,
srandom,/dev/srandom,https://github.com/josenk/srandom
qrandom,/dev/qrandom,https://github.com/lmacken/quantumrandom
blockrandom,,https://github.com/billpmurphy/blockchain-random
TrueRNG v3,/dev/TrueRNG,http://ubld.it/truerng_v3
TrueRNG Pro,/dev/TrueRNG,http://ubld.it/products/truerngpro
random.org,,https://www.random.org/
bad-true-random,,https://github.com/jaybosamiya/true-random
sha3sum,,https://github.com/maandree/sha3sum
nettle,,https://www.lysator.liu.se/~nisse/nettle/
